Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
1,Apple,AAPL,United States,Technology,245.83,3678461755392,38.91442,29.548735,55.328976,0.24295,9.429,27.169,395760009216,25.974,0.04,0.46519002,0.34706002,0.34459,0.22518998,1.3652,145,0.923,0.783,53774999552,96798998528,4.438,1.2,0.6,0.1571,0.0040271734,0.99,S&P 500,North America,86400,16.36,0.55,7.31,8.5,2025,2,3,236,LAG_PERF,Technology Hardware
2,NVIDIA,NVDA,United States,Technology,140.11,3409742659584,53.120556,32.620148,49.97955,0.55685,28.816,44.871,113268998144,4.605,0.936,0.7586,0.6422,0.62337,0.59131,1.27211,15.516,4.105,3.409,38486999040,10225000448,2.689,1.619,0.08,0.0111,0.00019984298,0.028,S&P 500,North America,86400,12.23,2.73,3.86,5.65,2025,2,2,120,LAG_PERF,Semiconductors
3,Microsoft,MSFT,United States,Technology,416.13,3083391729664,32.90008,27.31037,10.028738,0.35428002,11.711,21.585,261802000384,35.224,0.123,0.69408995,0.54255,0.45458,0.14649001,0.34291,33.998,1.351,1.204,71554998272,102909001728,40.712,0.895,0.86,0.2482,0.0075937808,3.16,S&P 500,North America,86400,13.51,1.65,7.61,4.25,2025,2,3,603,LAG_PERF,Software & Services
4,Amazon,AMZN,United States,Consumer Cyclical,222.88,2401756774400,39.235508,35.21626,8.02267,0.09287,3.683,19.503,637959012352,60.915,0.105,0.48854,0.18882999,0.11291,0.07438,0.24290001,54.342,1.064,0.837,101202001920,155400994816,26.996,1.156,N/A,0,0,0,S&P 500,North America,86400,26.1,8.3,11.05,6.75,2025,2,3,268,AVG_PERF,Retailing
5,Alphabet (Google),GOOG,United States,Communication Services,186.64,2268670459904,22.584578,20.288269,6.820675,0.28604,6.131,16.571,350018011136,28.413,0.118,0.582,0.36997002,0.33967,0.1674,0.32908002,8.655,1.837,1.661,95657000960,28137000960,26.622,0.991,N/A,0.0746,0.0042863265,0.8,S&P 500,North America,,,,,,,,,,,
6,Saudi Aramco,2222.SR,Saudi Arabia,Energy,27.7,1784473872990,16.094675,16.287426,4.4568243,0.22376,3.823,7.961,1832370044928,7.561,-0.05,0.5471,0.4802,0.41499,0.2025,0.24083,17.948,2.044,1.619,260437000192,303476015104,6.103,0.173,N/A,0.7372,0.05245487,1.453,Other,Other,,,,,,,,,,,
7,Meta Platforms (Facebook),META,United States,Communication Services,694.84,1783113842688,28.648365,27.017786,9.483871,0.37909,10.358,20.352,164500996096,64.918,0.206,0.81684,0.50891,0.45278,0.16863,0.37140998,27.25,2.978,2.822,77814996992,49769000960,72.075,1.2,N/A,0.0838,0.0028783605,2,S&P 500,North America,86400,32.73,2.41,21.64,8.68,2025,2,4,603,LEAD_PERF,Software & Services
8,Tesla,TSLA,United States,Consumer Cyclical,354.4,1159748386816,166.40393,104.259254,14.899434,0.07259,10.895,81.705,97690001408,30.557,0.021,0.17863001,0.13335,0.06158,0.04186,0.1042,18.489,2.025,1.427,36563001344,13623000064,22.672,2.336,N/A,0,0,0,S&P 500,North America,86400,24.73,3.2,14.13,7.4,2025,2,3,48,AVG_PERF,Automobiles
9,Broadcom,AVGO,United States,Technology,226.74,1072139862016,169.50389,35.43922,3.6922712,0.114300005,2.312,4.701,51574001664,11.154,0.164,0.75205004,0.4918,0.31765,0.08126,0.13458,166.032,1.174,0.939,11105000448,40456998912,59.221,1.039,2.61,1.6317999,0.009570433,2.17,S&P 500,North America,86400,19.2,8.12,6.86,4.21,2025,2,2,120,LAG_PERF,Semiconductors
10,Berkshire Hathaway,BRK-B,United States,Financial Services,481.8,1043332202496,9.6812935,23.841633,0.0010601679,0.23959999,-0.556,-1.631,371433013248,258348.64,0.016,0.30621,0.34082,0.25908002,0.063930005,0.14653,19.145,2.634,2.479,334200995840,124761997312,451569.97,N/A,N/A,0,0,0,S&P 500,North America,86400,26.19,1.66,5.52,19.02,2025,2,2,357,AVG_PERF,Diversified Financials
